번호,사업자명,대표,업종,지역,유효기간 만료일,홈페이지
138,고려인삼과학(주),이창훈,제조업,경기 파주시,2017-04-10,
139,메탈라인(주),홍덕희,제조업,경기 화성시,2017-04-10,
140,대왕철강(주),임채홍,도매및소매업,경기 화성시,2017-04-10,
141,(주)케미렉스,박진석,도매및소매업,인천 남동구,2017-04-10,
142,주식회사 보성전자,이종걸,제조업,경북 구미시,2017-04-10,
143,(주)엠제이켐,이인구,도소매업,경기 고양시,2017-04-10,
144,(주)창성에프에이,강안우,도매및소매업,경기 광명시,2017-04-10,
145,(주)케이텍,김동옥,제조업,경기 광명시,2017-04-10,
146,(주)신신,허찬주,제조업,경기 용인시,2017-04-10,
147,주식회사 디엔코,최장성,도매및소매업,경기 화성시,2017-04-10,
148,(주)뉴젠솔루션경남,신성일,사업서비스업,부산 부산진구,2017-04-10,
149,주식회사씨케이텍,곽철관,제조업,충남 아산시,2017-04-10,
150,(주)온브랜딩,정주남,건설업,울산 남구,2017-04-10,
151,전남철강(주),서영철,도소매업,광주 북구,2017-04-11,
152,(주)에이원스포츠,이규필,도소매업,경기 안양시,2017-04-11,
153,삼광선재(주),신용철,제조업,경기 화성시,2017-04-11,
154,국제인터트레이드(주),이동현,도소매업,경기 성남시,2017-04-11,
155,필드코리아,박종선,제조업,서울 금천구,2017-04-11,
156,(주)나우아이앤씨,안남훈,건설업,서울 금천구,2017-04-11,
157,(주)모임스톤,이창우,제조업,경기 안양시,2017-04-11,
158,대우전자부품(주),서준교,제조업,전북 정읍시,2017-04-11,
159,농업회사법인다도해농산주식회사,이상묵,제조업,전남 영암군,2017-04-11,
160,원일기업,장미자,제조업,경기 광주시,2017-04-11,
161,명산엔지니어링,김석중,제조업,경기 광명시,2017-04-11,
162,태영에너지(주),석용주,도매및소매업,대구 동구,2017-04-13,
163,풍암범퍼(주),이영호,도매및소매업,전남 장성군,2017-04-13,
164,코코스팩(주),임성민,제조업,경기 화성시,2017-04-13,
165,주식회사 삼성팩,김용호,제조업,경기 화성시,2017-04-13,
166,(주)윤찬산업,김경늠,제조업,경북 경주시,2017-04-13,
167,(주)이노에스,양왕석,제조업,경기 부천시,2017-04-13,
168,주식회사한국산업,김옥자,제조업,경북 예천군,2017-04-13,
169,주식회사고속에너지,나복순,도매및소매업,광주 광산구,2017-04-13,
170,(주)테디베어사파리,임승호,도매및소매업,제주 제주시,2017-04-13,
171,(주)미래공구유통,위준우,도매및소매업,전남 영암군,2017-04-13,
172,(주)에이치디패널,정신유,제조업,경북 경산시,2017-04-13,
173,(주)이앤피코리아,유승영,도소매업,광주 서구,2017-04-13,
174,(주)성원강재,이장수,도매및소매업,경기 화성시,2017-04-13,
