번호,사업자명,대표,업종,지역,유효기간 만료일
256,주식회사코콤,고성욱,정보통신,경기 부천시,2020-02-08
257,주식회사태원,방대석,기계금속,부산 강서구,2020-01-18
258,주식회사티오피에스,곽홍규,정보통신,경기 시흥시,2020-03-22
259,주식회사파우어브레이스,정미경,기계금속,경남 김해시,2020-03-15
260,주식회사포드림,김원국,S/W,경북 안동시,2020-01-02
261,주식회사헥코리아,이경도,S/W,서울 구로구,2020-03-08
262,주식회사혜강씨큐리티,고영배,기계금속,서울 양천구,2020-03-21
263,주식회사호산,조현득,건설,강원 삼척시,2020-01-09
264,주식회사후로웰,엄용회,전기전자,경기 화성시,2020-01-24
265,중원알루미늄공업,이현규,기타,경기 김포시,2020-03-27
266,코리아베르톨드(주),이진철,기계금속,경기 성남시,2020-01-01
267,코리아웨코스타(주),권혁술,기타,충남 아산시,2020-02-22
268,코리아테스팅 주식회사,김형의,기계금속,대전 유성구,2020-01-02
269,타입포(주),임빈,기계금속,경기 평택시,2020-03-20
270,태양산업조명,양우석,전기전자,경기 부천시,2020-03-14
271,태진기계주식회사,이광일,기계금속,경기 시흥시,2020-01-24
272,페이민트주식회사,김영환,S/W,서울 서초구,2020-03-27
273,포엠 주식회사,심재일,서비스,전남 나주시,2020-03-30
274,포트래치주식회사,강문정,환경,대구 서구,2020-02-01
275,프로켐(주),구장회,화학,경기 평택시,2020-02-20
276,한국초음파산업,임준수,기계금속,경기 화성시,2020-03-20
277,한라식품,이재한,바이오,경북 상주시,2020-01-16
278,한일화섬(주),한용희,섬유,경북 경산시,2020-01-02
279,해동엔지니어링(주),신재식,환경,전남 함평군,2020-01-04
280,현무정공,장대진,기계금속,경남 김해시,2020-03-29
281,호텔패스글로벌(주),이병혁,서비스,서울 중구,2020-01-09
282,화성세탁기,"고창오,김관한",기계금속,대구 달서구,2020-02-16
283,SE&T(주),김희중,기계금속,울산 울주군,2020-03-09
284,SS패션(경동어패럴),박영희,섬유,대구 북구,2020-03-30
285,(농)서부충남고품질양돈클러스터사업단행복 주식회사,윤영우,식품,충남 보령시,2019-06-07
286,(유)농업회사법인에녹식품,이강용,식품,전북 완주군,2019-03-30
287,(유)도로앤도시,신남숙,건설,전북 전주시,2019-04-28
288,(유)목양,임정숙,식품,충남 논산시,2019-03-27
289,(유)시원,김형모,정보통신,전북 전주시,2019-08-16
290,(유)씨엠에스이엔지,이진복,기계금속,전북 전주시,2019-07-06
291,(유)아홉,김연우,S/W,서울 중구,2019-02-17
292,(유)일도엔지니어링,염철영,기계금속,전북 군산시,2019-02-15
293,(유)한국메이드,최종근,기타,전남 목포시,2019-02-10
294,(자)어반스케이프,한재순,건설,대전 서구,2019-03-20
295,(주) 피디티,송학봉,기계금속,경기 평택시,2019-04-20
296,(주)21하이테크,김재진,기계금속,경기 화성시,2019-02-23
297,(주)가야,곽형근,화학,경기 광주시,2019-07-19
